kernel,interface,time
sp,ETH,860.88
mg,IPoIB,33.90
is,IPoIB,15.15
bt,IPoIB,693.84
ep,IPoIB,37.06
cg,ETH,772.61
ft,IB,144.58
lu,IB,223.40
lu,IPoIB,286.27
ft,ETH,1584.14
ep,ETH,37.17
sp,IPoIB,599.99
ep,IB,37.03
sp,IB,481.25
bt,ETH,557.17
is,ETH,151.41
mg,ETH,85.45
bt,IB,414.65
cg,IB,182.30
ft,IPoIB,171.86
lu,ETH,307.46
mg,IB,35.03
cg,IPoIB,180.83
is,IB,10.18
mg,ETH,83.59
is,ETH,151.57
bt,IPoIB,697.09
mg,IB,34.34
cg,IPoIB,182.46
sp,IPoIB,598.00
ep,ETH,37.24
ep,IB,37.31
cg,IB,185.21
is,IB,10.28
mg,IPoIB,34.78
ft,IB,144.62
sp,ETH,864.90
bt,IB,413.88
bt,ETH,559.60
is,IPoIB,15.28
ft,ETH,1583.11
sp,IB,479.27
lu,ETH,305.31
cg,ETH,774.13
lu,IB,223.25
ep,IPoIB,38.56
ft,IPoIB,172.11
lu,IPoIB,284.38
cg,IB,184.07
ep,ETH,37.22
sp,IPoIB,601.53
sp,ETH,862.27
ep,IPoIB,37.33
lu,ETH,305.42
ep,IB,37.26
lu,IB,224.32
sp,IB,479.44
bt,IPoIB,693.54
cg,IPoIB,180.28
bt,IB,412.09
ft,IPoIB,159.80
ft,ETH,1583.99
is,IPoIB,15.20
cg,ETH,775.28
mg,ETH,87.05
is,IB,10.26
ft,IB,143.63
is,ETH,151.44
mg,IPoIB,35.52
lu,IPoIB,279.25
mg,IB,35.34
bt,ETH,561.56
ft,ETH,1584.12
is,IB,10.56
sp,ETH,863.04
mg,IB,34.82
is,IPoIB,13.79
lu,ETH,304.06
mg,ETH,83.93
ft,IB,147.71
bt,IPoIB,697.22
cg,IB,184.18
lu,IPoIB,272.77
sp,IPoIB,598.35
bt,IB,412.04
bt,ETH,557.09
lu,IB,225.92
ep,ETH,37.41
cg,IPoIB,183.75
is,ETH,150.97
ep,IPoIB,37.47
cg,ETH,769.73
mg,IPoIB,34.46
ft,IPoIB,157.62
sp,IB,481.69
ep,IB,37.99
ep,ETH,37.46
is,IPoIB,15.52
cg,IB,184.29
ep,IPoIB,43.45
ft,IB,152.94
bt,IPoIB,688.19
cg,ETH,773.40
is,ETH,150.86
mg,IB,34.90
lu,ETH,311.22
ft,IPoIB,163.61
ft,ETH,1584.16
lu,IPoIB,279.61
is,IB,10.71
sp,ETH,855.87
mg,ETH,85.04
mg,IPoIB,35.49
sp,IPoIB,603.26
sp,IB,483.37
cg,IPoIB,181.29
lu,IB,225.04
bt,ETH,562.13
ep,IB,36.94
bt,IB,414.21
sp,ETH,858.57
sp,IB,484.55
sp,IPoIB,593.81
mg,IB,33.93
bt,ETH,560.99
lu,IPoIB,287.21
ft,IB,145.62
bt,IB,412.24
cg,IPoIB,180.42
is,IB,10.57
ft,ETH,1584.16
is,IPoIB,14.26
ep,IB,37.24
mg,ETH,85.87
bt,IPoIB,694.34
lu,IB,223.08
mg,IPoIB,35.04
ep,IPoIB,43.40
is,ETH,151.02
ep,ETH,43.47
lu,ETH,302.59
cg,ETH,769.79
cg,IB,183.98
ft,IPoIB,166.63
is,IPoIB,15.64
is,ETH,151.03
mg,IB,36.06
cg,IB,180.70
ft,ETH,1584.23
lu,IB,223.16
mg,IPoIB,34.71
ep,IPoIB,37.23
sp,IB,484.46
bt,IPoIB,678.36
mg,ETH,83.97
ft,IB,143.22
bt,ETH,558.52
ep,ETH,37.22
cg,ETH,768.30
bt,IB,414.13
sp,ETH,856.58
cg,IPoIB,182.66
is,IB,10.39
ft,IPoIB,165.94
lu,ETH,303.51
ep,IB,37.44
sp,IPoIB,603.77
lu,IPoIB,267.59
sp,ETH,856.13
cg,IB,182.67
lu,ETH,306.27
cg,ETH,769.98
ft,ETH,1582.77
ft,IPoIB,168.68
bt,ETH,559.99
ep,ETH,37.83
is,ETH,151.49
cg,IPoIB,180.78
lu,IPoIB,285.45
ep,IB,37.10
ft,IB,144.34
is,IPoIB,14.95
mg,ETH,86.24
sp,IPoIB,597.94
mg,IPoIB,34.32
lu,IB,225.29
ep,IPoIB,37.55
bt,IPoIB,691.44
is,IB,10.75
mg,IB,33.94
sp,IB,480.96
bt,IB,412.28
sp,IPoIB,597.84
bt,IB,413.93
mg,IB,34.81
lu,IPoIB,289.65
bt,ETH,555.53
mg,ETH,86.42
ft,IPoIB,173.05
mg,IPoIB,34.59
bt,IPoIB,682.71
sp,IB,482.44
lu,ETH,304.80
lu,IB,224.93
ft,ETH,1583.57
sp,ETH,857.49
is,IB,10.34
is,ETH,150.93
ep,IB,37.46
cg,ETH,768.98
is,IPoIB,13.97
ep,IPoIB,37.38
ep,ETH,37.36
ft,IB,143.91
cg,IPoIB,179.87
cg,IB,183.43
ep,IPoIB,38.49
ft,IPoIB,167.25
sp,ETH,857.07
mg,IPoIB,35.46
is,IB,10.49
lu,IPoIB,289.93
mg,IB,35.60
is,IPoIB,14.40
lu,IB,226.38
ft,ETH,1583.02
bt,IPoIB,698.23
ep,ETH,37.39
is,ETH,151.10
bt,ETH,558.49
cg,ETH,769.43
lu,ETH,306.39
bt,IB,412.87
sp,IB,478.94
sp,IPoIB,601.49
mg,ETH,85.19
cg,IPoIB,181.49
ep,IB,37.55
cg,IB,181.63
ft,IB,144.54
bt,ETH,559.34
is,IPoIB,15.09
sp,ETH,862.09
lu,IPoIB,273.36
is,IB,10.30
ep,ETH,37.19
ft,IPoIB,171.54
bt,IPoIB,691.54
mg,ETH,84.52
sp,IB,479.09
ft,ETH,1583.49
lu,ETH,304.24
is,ETH,151.15
cg,IB,184.08
ep,IPoIB,37.11
bt,IB,415.35
ft,IB,143.23
mg,IPoIB,35.83
mg,IB,35.84
lu,IB,223.13
ep,IB,37.55
cg,ETH,767.42
sp,IPoIB,601.51
cg,IPoIB,181.75
lu,IPoIB,282.76
mg,ETH,84.08
is,ETH,151.13
sp,ETH,859.78
sp,IB,478.85
bt,IB,413.85
mg,IB,34.62
bt,IPoIB,685.15
ft,ETH,1586.08
ft,IPoIB,165.80
ft,IB,143.27
ep,IB,37.12
ep,ETH,37.29
is,IPoIB,15.28
cg,ETH,769.54
ep,IPoIB,37.11
lu,ETH,303.91
cg,IB,182.19
mg,IPoIB,34.19
bt,ETH,553.95
is,IB,10.40
sp,IPoIB,591.54
cg,IPoIB,181.86
lu,IB,226.03
mg,IB,33.87
cg,IPoIB,180.85
is,ETH,150.77
sp,IPoIB,599.48
bt,ETH,554.85
sp,IB,484.16
lu,IPoIB,284.24
sp,ETH,865.15
ep,IB,37.41
cg,ETH,775.50
cg,IB,182.82
bt,IPoIB,706.26
lu,ETH,307.02
ep,ETH,37.42
mg,ETH,84.39
is,IB,10.71
ep,IPoIB,37.36
is,IPoIB,15.76
mg,IPoIB,34.35
bt,IB,412.89
ft,IB,144.15
ft,ETH,1583.28
lu,IB,223.83
ft,IPoIB,167.53
sp,IPoIB,601.23
mg,IB,36.77
ft,ETH,1583.63
ep,IPoIB,43.89
lu,ETH,307.44
cg,IPoIB,178.87
ep,ETH,37.20
ft,IB,144.51
mg,ETH,83.77
is,IPoIB,13.11
bt,IPoIB,697.25
sp,ETH,864.43
is,ETH,150.96
is,IB,10.17
cg,IB,184.69
sp,IB,480.56
lu,IB,224.01
lu,IPoIB,285.78
mg,IPoIB,34.73
ft,IPoIB,170.87
bt,ETH,558.33
bt,IB,413.56
ep,IB,37.28
cg,ETH,778.23
sp,IPoIB,600.34
bt,IB,414.24
bt,ETH,558.08
lu,ETH,305.66
sp,ETH,857.99
sp,IB,478.48
cg,ETH,774.56
lu,IPoIB,271.27
ft,ETH,1584.13
ft,IPoIB,174.29
cg,IPoIB,179.77
mg,IB,35.52
lu,IB,223.14
bt,IPoIB,697.92
mg,IPoIB,34.78
ep,ETH,37.19
is,IB,10.44
cg,IB,183.93
ep,IB,37.09
is,ETH,151.14
ep,IPoIB,37.10
ft,IB,144.92
is,IPoIB,15.06
mg,ETH,86.25
cg,IPoIB,180.04
is,IB,10.49
lu,IB,224.48
ft,IB,145.54
mg,IPoIB,35.12
bt,ETH,558.29
sp,IB,482.85
ep,IB,37.44
mg,IB,34.52
sp,IPoIB,598.14
cg,IB,182.14
sp,ETH,860.02
is,ETH,150.72
bt,IB,415.94
ep,IPoIB,37.17
is,IPoIB,13.95
lu,IPoIB,268.98
cg,ETH,769.52
ft,ETH,1582.36
lu,ETH,309.27
ft,IPoIB,167.54
bt,IPoIB,684.15
mg,ETH,84.87
ep,ETH,37.14
is,IB,10.47
mg,IB,33.86
bt,ETH,560.62
lu,IB,223.38
is,ETH,151.82
cg,IB,183.61
lu,IPoIB,283.13
sp,ETH,856.95
is,IPoIB,13.78
cg,ETH,771.00
ft,IB,149.29
ep,ETH,37.25
lu,ETH,310.99
ep,IPoIB,38.22
sp,IPoIB,598.49
bt,IB,413.32
ep,IB,37.37
bt,IPoIB,699.71
ft,ETH,1583.39
ft,IPoIB,167.90
sp,IB,484.67
mg,ETH,84.35
cg,IPoIB,180.10
mg,IPoIB,34.50
ft,IPoIB,174.53
ep,IPoIB,37.73
bt,ETH,558.17
ft,IB,143.13
mg,IB,35.93
sp,ETH,860.63
lu,IPoIB,287.30
ep,ETH,38.06
mg,ETH,84.02
mg,IPoIB,34.23
is,IPoIB,14.04
lu,IB,224.44
is,IB,10.47
bt,IPoIB,692.98
ep,IB,37.09
sp,IB,481.60
bt,IB,412.00
lu,ETH,302.87
cg,ETH,773.73
is,ETH,151.31
ft,ETH,1583.53
cg,IB,183.48
sp,IPoIB,588.10
cg,IPoIB,181.85
lu,IPoIB,274.91
mg,IB,35.31
bt,IPoIB,699.07
sp,IPoIB,602.83
sp,ETH,864.06
lu,ETH,306.25
ft,IPoIB,160.97
bt,IB,412.46
cg,IPoIB,184.57
is,ETH,151.11
mg,ETH,84.78
sp,IB,483.32
ft,ETH,1582.89
lu,IB,226.55
ep,IB,37.03
is,IPoIB,15.11
ft,IB,144.94
mg,IPoIB,34.72
is,IB,10.22
ep,ETH,37.35
ep,IPoIB,37.14
cg,IB,183.26
cg,ETH,774.53
bt,ETH,554.50
cg,IPoIB,186.07
ep,IB,37.42
sp,ETH,862.54
lu,ETH,304.04
is,ETH,151.64
ep,IPoIB,38.32
lu,IB,223.83
ft,ETH,1584.21
is,IPoIB,14.47
mg,ETH,85.30
bt,IPoIB,665.81
cg,ETH,765.75
bt,ETH,558.24
ft,IPoIB,170.75
sp,IPoIB,597.84
ep,ETH,37.07
ft,IB,145.34
is,IB,10.53
mg,IPoIB,35.14
cg,IB,183.24
lu,IPoIB,291.66
sp,IB,481.24
mg,IB,33.45
bt,IB,414.19
lu,ETH,306.49
sp,IB,482.22
ep,IPoIB,37.20
is,ETH,151.40
mg,IPoIB,35.04
mg,ETH,85.73
lu,IPoIB,292.89
sp,IPoIB,601.89
cg,IPoIB,181.76
mg,IB,35.45
cg,IB,181.81
sp,ETH,858.82
ft,IB,143.51
ft,ETH,1584.78
lu,IB,225.23
cg,ETH,772.92
bt,IB,412.38
is,IPoIB,15.43
ep,IB,37.30
is,IB,10.50
ft,IPoIB,158.65
bt,ETH,558.83
bt,IPoIB,678.85
ep,ETH,37.17
mg,IB,35.18
mg,IPoIB,35.33
lu,IB,224.07
sp,IB,481.00
ft,ETH,1582.90
lu,IPoIB,269.29
cg,IPoIB,183.68
is,IB,10.63
is,IPoIB,14.53
bt,IPoIB,692.29
sp,IPoIB,599.33
ep,IB,37.31
ft,IPoIB,166.81
bt,IB,416.10
cg,ETH,767.24
ep,ETH,37.11
cg,IB,184.46
is,ETH,151.54
mg,ETH,85.49
sp,ETH,864.21
ft,IB,144.80
lu,ETH,310.62
bt,ETH,558.03
ep,IPoIB,38.50
mg,ETH,86.16
mg,IB,34.87
cg,ETH,764.19
sp,IPoIB,601.23
ft,ETH,1582.89
mg,IPoIB,34.79
lu,IB,224.68
ft,IPoIB,162.88
ep,IB,37.15
bt,IPoIB,689.96
bt,IB,412.48
sp,IB,481.35
lu,ETH,308.55
is,IB,10.42
lu,IPoIB,277.18
ep,ETH,37.57
is,ETH,151.48
sp,ETH,861.84
ft,IB,144.50
ep,IPoIB,38.17
cg,IPoIB,185.48
cg,IB,184.09
bt,ETH,559.13
is,IPoIB,15.46
is,IB,10.39
sp,IPoIB,600.08
cg,ETH,773.85
cg,IB,184.61
lu,IPoIB,285.75
ep,IPoIB,37.20
is,IPoIB,15.65
ep,ETH,37.33
ft,IPoIB,170.67
sp,IB,480.89
ft,IB,143.99
cg,IPoIB,190.36
is,ETH,151.11
lu,ETH,312.45
lu,IB,223.74
ft,ETH,1583.83
sp,ETH,859.41
ep,IB,37.22
bt,ETH,559.01
bt,IPoIB,666.31
mg,IB,36.04
bt,IB,412.34
mg,IPoIB,35.16
mg,ETH,83.76
bt,ETH,557.26
bt,IB,413.89
lu,IPoIB,283.64
ep,ETH,37.24
ep,IPoIB,37.56
sp,IB,478.09
sp,ETH,860.10
sp,IPoIB,597.03
ft,ETH,1583.54
mg,ETH,86.73
cg,IB,185.75
ep,IB,37.70
ft,IB,143.58
bt,IPoIB,702.26
cg,ETH,771.45
ft,IPoIB,177.53
cg,IPoIB,179.64
lu,IB,225.83
mg,IPoIB,34.57
lu,ETH,306.93
is,ETH,151.33
is,IPoIB,15.00
is,IB,10.34
mg,IB,36.11
bt,IPoIB,691.73
ft,IB,145.16
ep,IPoIB,39.04
mg,IPoIB,34.22
mg,IB,34.65
sp,IPoIB,599.36
sp,IB,480.50
is,ETH,151.10
lu,IB,224.04
ep,IB,37.18
cg,IPoIB,178.98
ft,ETH,1583.92
bt,IB,413.77
ep,ETH,37.19
cg,ETH,776.95
lu,ETH,305.36
ft,IPoIB,174.43
cg,IB,183.36
lu,IPoIB,271.77
bt,ETH,557.74
is,IB,10.85
sp,ETH,862.51
mg,ETH,84.60
is,IPoIB,15.52
ep,IB,37.13
bt,IPoIB,666.24
mg,IPoIB,34.79
lu,IPoIB,270.46
sp,ETH,861.36
sp,IB,484.41
ep,IPoIB,37.07
is,IB,10.83
cg,IPoIB,184.41
bt,IB,414.22
ft,ETH,1583.66
lu,ETH,308.25
ft,IB,143.02
is,IPoIB,15.15
cg,IB,182.99
cg,ETH,770.23
sp,IPoIB,605.49
is,ETH,151.16
ep,ETH,37.20
bt,ETH,559.01
lu,IB,226.50
mg,ETH,84.09
ft,IPoIB,178.03
mg,IB,35.56
cg,IPoIB,181.49
ep,IB,37.12
ft,IB,144.30
is,ETH,151.20
is,IPoIB,14.00
bt,IPoIB,696.96
bt,ETH,560.81
sp,ETH,862.50
mg,IPoIB,35.58
lu,IB,227.30
ft,IPoIB,173.99
lu,IPoIB,269.13
mg,ETH,86.57
sp,IPoIB,591.42
cg,IB,192.07
is,IB,10.83
ep,IPoIB,37.22
ep,ETH,37.25
cg,ETH,766.74
lu,ETH,303.36
ft,ETH,1583.98
bt,IB,416.08
mg,IB,35.06
sp,IB,483.16
bt,ETH,560.85
ft,IB,144.29
is,IB,10.33
cg,ETH,771.67
ep,ETH,37.52
sp,IPoIB,604.55
ep,IPoIB,37.28
cg,IPoIB,181.36
mg,ETH,85.91
bt,IPoIB,701.29
ep,IB,37.13
bt,IB,414.63
cg,IB,181.56
lu,IPoIB,289.20
sp,ETH,860.34
sp,IB,481.48
mg,IB,34.07
mg,IPoIB,35.03
is,ETH,151.06
ft,IPoIB,166.69
lu,IB,222.65
lu,ETH,303.38
is,IPoIB,15.49
ft,ETH,1583.36
is,IPoIB,13.34
mg,IPoIB,33.58
sp,IPoIB,607.07
ep,IB,37.21
ft,ETH,1582.81
lu,ETH,309.58
mg,IB,34.81
ft,IPoIB,173.36
lu,IB,224.73
sp,ETH,859.73
lu,IPoIB,278.78
bt,ETH,557.05
sp,IB,481.44
mg,ETH,85.09
bt,IB,413.97
is,ETH,151.30
ep,ETH,37.22
cg,IPoIB,180.36
cg,IB,182.51
ft,IB,143.68
bt,IPoIB,690.34
cg,ETH,766.29
is,IB,10.27
ep,IPoIB,37.19
